#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_elephants;War Beasts;;;;;;;;;;;;x
war_elephants_offensive;War Beasts Offensive;;;;;;;;;;;;x
war_elephants_defensive;War Beasts Defensive;;;;;;;;;;;;x
war_elephants_morale;War Beasts Morale;;;;;;;;;;;;x
title_spahbod;Pillar of Faith;Spahbod;Spahbod;;Spahbod;;;;;;;;;x
title_spahbod_desc;This title, can be traced all the way back to the times of Mulhaed al-Quyat, and during His reign there were four Pillar of Faith assigned to guard each corner of the Arabyan realm from the Undead. It remains a prestigious military office.;Ce titre, qui signifie approximativement 'chef de l'armée', est utilisé depuis l'Empire achéménide. Durant le règne sassanide, il existait quatre Spahbods, chacun assigné à un coin du royaume perse. C'est encore aujourd'hui un poste militaire très prestigieux.;Dieser Titel bedeutet ungefähr 'Armee-Häuptling' und geht auf das Achämenidenreich zurück. Während der sassanidischen Herrschaft gab es vier Spahbods, die den Ecken des Reiches zugeordnet waren. Er ist noch immer ein prestigeträchtiger Titel.;;Este título, que más o menos significa jefe del ejército, puede rastrearse hasta el Imperio Aqueménida, y durante el reinado Sasánida había cuatro Spahbods asignados a cada rincón del reino Persa. Sigue siendo un cargo militar de prestigio.;;;;;;;;;x
title_eran_ambaragbed;Eyes of Ormazd;Eran Ambaragbed;Eran Ambaragbed;;Eran Ambaragbed;;;;;;;;;x
title_eran_ambaragbed_desc;As the minister of the magazines, it is the responsibility of the Eyes of Ormazd to see to the arms and armaments of the realm's warriors.;En tant que 'ministre du dépot d'armes', l'Eran Ambaragbed a la responsabilité de la gestion des armes et armements des guerriers du royaume.;Als 'Minister der Magazine' liegt es in der Verantwortung des Eran Ambaragbed, sich um die Waffen und Rüstungen der Krieger des Reiches zu kümmern.;;Como el Ministro del Almacén, es responsabilidad del Eran Ambaragbed  ver las armas y el armamento de los guerreros del reino.;;;;;;;;;x
title_behi;Behi;Behi;Behi;;Behi;;;;;;;;;x
title_behi_desc;This title is given to women in the families within Hung nobility.;Ce titre était donné aux femmes de la noblesse mongole.;Dieser Titel wurde an Frauen aus mongolischen Adelsfamilien vergeben.;;Se le daba este título a las mujeres de las familias de la nobleza mongola.;;;;;;;;;x
title_master_of_the_eagle;Master of the Raven;Maître de l'Aigle;Meister der Adler;;Maestro del águila;;;;;;;;;x
title_master_of_the_eagle_desc;The Hung warriors use giant, mutant ravens to aid them while hunting. Being responsible for the training of these companions is a great honor.;Les guerriers mongols utilisaient des aigles comme animaux de chasse. Être responsable du dressage de ces oiseaux était un grand honneur.;Die mongolischen Krieger verwendeten Adler zur Beizjagd. Mit der Ausbildung dieser Tiere betraut zu werden, galt als große Ehre.;;Los guerreros mongoles usaron águilas para ayudarles en la caza. Ser responsable de la formación de estos compañeros era un gran honor.;;;;;;;;;x
title_cherbi;Commander of the Favoured;Cherbi;Cherbi;;Cherbi;;;;;;;;;x
title_cherbi_desc;The Favoured are the personal guard of particularly important and prestigious Hung Khans. They are charged with the protection of the Khanate's most important nobility, and the position as their commander is a very prestigious one.;Le cherbi est le commandant des Kheshig, la garde impériale de l'empire mongol. Ils sont en charge de la protection de la plus haute noblesse de l'empire, et l'opportunité de diriger cette garde est l'un des plus hauts honneurs.;Der Cherbi ist der Anführer des Kheshig, der Garde des mongolischen Reiches. Die Garde beschützt die wichtigsten Adelsgeschlechter des Reiches und die Position ihres Kommandanten ist sehr prestigeträchtig.;;El Cherbi es el líder de la Kheshig, la guardia imperial del Imperio Mongol. Ellos se encargan de la protección de los nobles más importantes del imperio, y el puesto como su comandante es muy prestigioso.;;;;;;;;;x
title_darkhan;Hordemaster;Darkhan;Darkhan;;Darkhan;;;;;;;;;x
title_darkhan_desc;Hordemaster is a prestigious Hung title bestowed by the Khan upon those who have served him exceptionally wel, usually awarded to those allies who aid the Khan during their rise to power.;En Mongolie, le prestigieux titre de darkhan est accordé par les Khan à ceux qui les ont servis de manière exceptionnelle. Gengis Khan a décerné ce titre aux alliés qui l'ont aidé durant son ascension vers le pouvoir.;Darkhan ist ein prestigeträchtiger, mongolischer Titel, den der Khan seinen besten Dienern verleiht. Dschingis Khan belohnte damit jene, die ihm zur Macht verhalfen.;;Darkhan es un prestigioso título Mongol otorgado por el Khan a los que le han servido excepcionalmente bien. Genghis Khan concedió este título a los aliados que le ayudaron en su ascenso al poder.;;;;;;;;;x
title_noyan;Landmaster;Noyan;Noyan;;Noyan;;;;;;;;;x
title_noyan_desc;This title is  granted to Hung battlefield commanders, they are also awarded a small piece of conquered land to administrate, so it has come to represent a form of higher nobility.;Ce titre était à l'origine accordé aux commandants qui avaient officié sur les champs de bataille. Cependant, comme la récompense était l'administration de la région conquise, le titre a fini par représenter une forme de haute noblesse.;Ursprünglich wurde dieser Titel mongolische Feldherren verliehen, doch nachdem sie mit eroberten Land belohnt wurden, repräsentierte dieser Titel eine Art höherer Adligkeit.;;Este título fue concedido originalmente a los comandantes del campo de batalla de Mongolia, pero a medida que fueron premiados con tierras conquistadas para administrar, llegó a representar una forma de alta nobleza.;;;;;;;;;x
title_baghatur;Valiant;Baghatur;Baghatur;;Baghatur;;;;;;;;;x
title_baghatur_desc;This honorific is the rough Hung equivalent of Bretonnian knighthood. It is usually granted only to those who have truly distinguished themselves in battle.;Cet honneur, qui se traduit par héros ou vaillant guerrier, est en quelque sorte l'équivalent de la chevalerie européenne. Ce titre n'est habituellement accordé qu'à ceux qui se sont véritablement distingués au combat.;Dieser Ehrentitel, der Held oder tapferer Krieger bedeutet, ist ungefähr das Äquivalent zur europäischen Ritterschaft. Er wird normalerweise nur jenen verliehen, die sich in der Schlacht wirklich ausgezeichnet haben.;;Este título honorífico, que significa héroe o guerrero valiente, es el equivalente a la caballería Europea. Por lo general, sólo se concede a aquellos que realmente se han distinguido en la batalla.;;;;;;;;;x
title_food_taster;Food Taster;Goûteur de nourriture;Vorkoster;;Catador;;;;;;;;;x
title_food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;Le goûteur jouit du plaisir aléatoire de tester tous les plats avant que ceux-ci ne soient servis à son maître…;Vorkoster haben das fragwürdige Vergnügen, alle Speisen zu probieren, bevor ihr Herr den ersten Bissen nimmt…;;Los catadores tienen el dudoso placer de catar todos los platos antes de que su amo los pruebe...;;;;;;;;;x
title_court_calligrapher;Court Calligrapher;Calligraphe;Hofkalligraph;;Calígrafo de la corte;;;;;;;;;x
title_court_calligrapher_desc;Arabyan reverence for written knowledge makes skilled calligraphers highly respected.;L'art figuratif étant perçu comme une transgression par l'Islam, les calligraphes expérimentés sont hautement respectés.;Der islamische Verdacht der metaphorischen Kunst verschafft erfahrenen Kalligraphen hohes Ansehen.;;La sospecha islámica del arte figurativo hace que los calígrafos expertos gocen de gran respeto.;;;;;;;;;x
title_court_musician;Court Musician;Musicien;Hofmusiker;;Músico de la corte;;;;;;;;;x
title_court_musician_desc;The Court Musician is always ready to entertain with soothing or stirring music.;Le musicien est toujours prêt à divertir la cour avec ses mélodies parfois apaisantes, parfois entraînantes.;Der Hofmusiker ist immer bereit, mit sanfter oder ergreifender Musik zu unterhalten.;;El músico de la corte siempre está listo para entretener con música relajante o conmovedora.;;;;;;;;;x
title_court_poet;Court Poet;Poète;Hofdichter;;Poeta de la corte;;;;;;;;;x
title_court_poet_desc;Poets enjoy a great deal of respect and prestige, but sometimes push the limits of what is socially acceptable. The Elves of Ulthuan and the Arabyans have a special appreciation for poetry.;Les poètes islamiques jouissent d'un fort respect et d'un grand prestige. Traitant souvent du thème de la religion, il leur arrive parfois de repousser les limites de ce que l'Islam perçoit comme acceptable.;Islamische Dichter erlangen großen Ruhm und Ansehen, oft religiöser Natur, aber machmal gehen sie über die Grenzen des im Islam Erlaubten hinaus.;;Los poetas islámicos disfrutan de gran respeto y prestigio, a menudo religiosos, pero a veces rozan los límites de lo aceptable para el Islam.;;;;;;;;;x
title_chief_architect;Chief Architect;Architecte en chef;Chef-Architekt;;Arquitecto Jefe;;;;;;;;;x
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, temples and grand monuments.;L'architecte en chef est chargé de la création et de la surveillance de la construction des palais, mosquées et autres grands monuments.;Der Chef-Architekt ist für die Planung und Beaufsichtigung beim Bau von Palästen, Moscheen und großen Denkmälern verantwortlich.;;El Arquitecto Jefe es responsable de diseñar y supervisar la construcción de palacios, mezquitas y grandes monumentos.;;;;;;;;;x
title_chief_qadi;Grand Judge;Cadi;Ober-Kadi;;Cadí Jefe;;;;;;;;;x
title_chief_qadi_desc;The Grand Judge is the supreme authority of the Sacred Law of Ormazd in the realm. The most prestigious of all Ormazdian honorary titles, it is only open to characters with a proper religious education.;Le cadi est le juge suprême et fait figure de représentant de la loi (charia) au sein du royaume. Plus prestigieux des titres honorifiques musulmans, cette fonction n'est accessible qu'aux personnes bénéficiant d'une éducation religieuse bien spécifique.;Der Ober-Kadi ist der oberste Richter und die Autorität des Gesetzes (Sharia) im Reich. Der renommierteste aller muslimischen Ehrentitel steht nur den Charakteren offen, die einen angemessenen Religionsunterricht genossen haben.;;El Cadí Jefe es el juez supremo y autoridad de la ley (Sharia) en el dominio. Es el más prestigioso de los títulos honorarios musulmanes, solo disponible a personajes con la debida educación religiosa.;;;;;;;;;x
title_despot;Despot;Despote;Despot;;Déspota;;;;;;;;;x
title_despot_desc;The title of "Despot" was usually granted to he heir of the Principality of Aegeos, but now it is also granted to close relatives. Even though, it's still considered a prestigious office.;Le despote est le plus haut titre honorifique de l'Empire byzantin, après celui d'empereur. Seuls les proches parents, traditionnellement le fils aîné, peuvent en bénéficier.;Despot ist der höchste Ehrentitel im Byzantinischen Kaiserreich und untersteht nur dem Kaiser. Er kann nur engen Verwandten verliehen werden, traditionell dem ältesten Sohn.;;El título honorífico de déspota era el más importante del Imperio Bizantino después del de emperador. Puede otorgarse a los familiares cercanos, tradicionalmente al hijo mayor.;;;;;;;;;x
title_sebastokrator;Majestic Ruler;Sébastokrator;Sebastokrator;;Sebastocrátor;;;;;;;;;x
title_sebastokrator_desc;The title of Majestic Ruler was created as an even higher honor than that of 'Caesar' in the Aegean Principality ( though some whisper it's an useless office ). It can only be granted to close relatives of the Prince. In the Aegean Principality it's considered a prestigious office.;Le titre de Sébastokrator a été créé à des fins encore plus honorifique que celui de 'César'. Il est réservé aux proches parents de l'empereur.;Der Titel Sebastokrator war mit noch höherer Ehre als der eines 'Cäsar' verbunden. Er kann nur engen Verwandten des Kaisers verliehen werden.;;El título de sebastocrátor tenía aún más honor que el de césar. Solo puede otorgarse a los familiares cercanos del emperador.;;;;;;;;;x
title_caesar;Caesar;César;Cäsar;;César;;;;;;;;;x
title_caesar_desc;Originally awarded by Myrmidia Incarnate to her closest generals, the title of Caesar can now be awarded to anyone. In the Aegean Principality it's still considered a prestigious office.;Plus haut titre de l'Empire romain, le titre de César peut désormais être décerné à tout le monde.;Ursprünglich war der Cäsartitel der ehrenvollste im Römischen Kaiserreich, jetzt aber kann er jedermann verliehen werden.;;Originalmente, era el título con más honor del Imperio Romano, aunque hoy en día puede otorgarse a cualquiera.;;;;;;;;;x
title_kouropalates;Palace Master;Curopalate;Kouropalates;;Curopalates;;;;;;;;;x
title_kouropalates_desc;The Palace Master is a very prestigious title in the Aegean Principality.;Curopalate - 'celui qui a la charge du palais' est un prestigieux titre de l'Empire byzantin.;Kouropalates - 'der Palastverwalter' - ist im Byzantinischen Kaiserreich ein äußerst angesehener Titel.;;El título de curopalates (el encargado del palacio) es bastante prestigioso en el Imperio Bizantino.;;;;;;;;;x
title_anthypatos;Proconsul;Anthypatos;Anthypatos;;Anthypatos;;;;;;;;;x
title_anthypatos_desc;The Proconsul is a very important civil official ( though some whisper it's just a title-shaped bribe ) in the Aegean Principality.;Anthypathos est un terme grec qui signifie proconsul. Toutefois, ce titre ne désigne plus un gouverneur provincial, et s'avère purement honorifique.;Anthypathos ist der griechische Ausdruck für Prokonsul. Dieses Amt steht aber nicht mehr für einen Provinzgouverneur, sondern ist lediglich ein Ehrentitel.;;Anthypathos viene del griego y significa procónsul. Sin embargo, el cargo ya no es para los gobernadores de la provincia, sino que es meramente honorífico.;;;;;;;;;x
necronomicon;The Liber Caelestior;Le Nécronomicon;Das Necronomicon;;El Necronomicón;;;;;;;;;x
necronomicon_desc;The "Liber Caelestior" or "Celestine Book of Divination", is a mysterious book, written by Necrodomo the Insane, dealing with many strange profecies and 'thruths'.. Many strange and unholy truths are recorded on its pages...;Un livre mystérieux traitant des sphères étranges de l'au-delà. De nombreuses vérités étranges et impies sont inscrites sur ses pages...;Ein geheimnisvolles Buch, das von den seltsamen jenseitigen Sphären handelt. Viele seltsame und unheilige Wahrheiten sind auf seinen Seiten verzeichnet ...;;Un misterioso libro que trata sobre las extrañas esferas del más allá. Muchas verdades extrañas e impías están escritas en sus páginas.;;;;;;;;;x
####Nomad Building Relocalisations;;;;;;;;;;;;;x
no_horse_breeder_1;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_2;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_3;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_4;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_5;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_6;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_7;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
no_horse_breeder_8;Horse Breeder;Éleveur de chevaux;Pferdezüchter;;Criador de caballos.;;;;;;;;;x
#no_horse_breeder_desc;;;;;;;;;;;;;;x
no_wrestling_1;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_2;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_3;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_4;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_5;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_6;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_7;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_8;Wrestling;Lutte;Ringkampf;;lucha libre;;;;;;;;;x
no_wrestling_desc;In the wrestling pit people fight for glory and enjoyment.;Dans la fosse, on combat pour la gloire et pour le plaisir.;In der Ringergrube kämpft man um Ruhm und als Zeitvertreib.;;En el foso de lucha libre, la gente lucha por gloria y diversión.;;;;;;;;;x
no_shrine_1;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_2;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_3;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_4;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_5;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_6;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_7;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_8;Shrine;Sanctuaire;Schrein;;Lugar sagrado;;;;;;;;;x
no_shrine_desc;At the shrine people can practice the main religious rituals and ceremonies.;Dans le sanctuaire, on pratique les principaux rites et cérémonies.;Am Schrein können die Menschen religiöse Rituale und Zeremonien durchführen.;;En el lugar sagrado la gente puede practicar los principales rituales y ceremonias religiosas.;;;;;;;;;x
no_ox_wagon_1;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_2;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_3;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_4;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_5;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_6;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_7;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_8;Ox & Wagon;Bœuf et chariot;Ochse und Karren;;Buey y carro;;;;;;;;;x
no_ox_wagon_desc;Wagons pulled by oxen are used to move villages and supplies. Yurts were commonly moved fully assembled to achieve a mobile community.;On utilise des chariots tirés par des bœufs pour transporter des vivres aussi bien que des villages. On déplaçait souvent les yourtes sans les démonter, la communauté était nomade.;Ochsenkarren werden eingesetzt, um Dörfer und Vorräte zu transportieren. Die Jurten wurden für gewöhnlich komplett aufgebaut auf die Reise geschickt, wodurch eine mobile Gemeinschaft entstand.;;Los vagones tirados por bueyes se utilizan para trasladar aldeas y los suministros. Las yurtas eran comúnmente trasladadas totalmente montadas para conseguir una comunidad móvil.;;;;;;;;;x
no_sheep_1;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_2;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_3;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_4;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_5;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_6;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_7;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_8;Sheep;Moutons;Schafe;;Oveja.;;;;;;;;;x
no_sheep_desc;Sheep wool is used to make felt in addition to the meat that the sheep provide.;La laine de mouton sert à faire du feutre. On l'élève également pour sa viande.;Neben ihrer Rolle als Fleischlieferanten wurden Schafe auch gehalten, um aus ihrer Wolle Filz herzustellen.;;La lana de oveja se usa para hacer fieltro, además de la carne que las ovejas proporcionan.;;;;;;;;;x
no_hunting_parties_1;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_2;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_3;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_4;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_5;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_6;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_7;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_8;Hunting Parties;Groupes de chasse;Jagdtrupps;;Partidas de caza;;;;;;;;;x
no_hunting_parties_desc;Regular hunting activities are arranged in the region.;On organise souvent des parties de chasse dans la région.;In dem Gebiet werden regelmäßig Jagden durchgeführt.;;En la región se suelen organizar regularmente actividades de caza.;;;;;;;;;x
no_riding_contests_1;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_2;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_3;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_4;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_5;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_6;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_7;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_8;Riding Contests;Concours d'équitation;Reitwettbewerbe;;Concursos ecuestres;;;;;;;;;x
no_riding_contests_desc;A competition to bring forth the fastest riders.;Une compétition destinée à attirer les cavaliers les plus rapides.;Ein Wettkampf, um die schnellsten Reiter zu finden.;;Una competición para identificar a los jinetes más rápidos.;;;;;;;;;x
no_yam_1;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_2;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_3;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_4;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_5;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_6;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_7;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_8;Supply Stations;Yam;Yam;;Yam;;;;;;;;;x
no_yam_desc;Checkpoints for a fast messenger system giving supplies and fresh horses to allow messengers to travel huge distances every day.;Des relais permettant une transmission rapides des messages, offrant les vivres et les montures fraîches indispensables aux voyages sur de longues distances.;Posten, an denen die berittenen Boten des Botennetzwerks Verpflegung und frische Pferde erhalten konnten, sodass sie an einem Tag riesige Entfernungen zurücklegen konnten.;;Puntos de control para un sistema de mensajeros rápidos que proporcionan suministros y caballos frescos para permitir que mensajeros recorran grandes distancias al día.;;;;;;;;;x
no_baghatur_council_1;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_2;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_3;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_4;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_5;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_6;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_7;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_8;Warrior Council;Le Conseil des Baghatur;Rat von Baatar;;Consejo de baghatur;;;;;;;;;x
no_baghatur_council_desc;The most proven heroes of the realm gather to discuss everything from politics to tactics.;Les plus grands héros du royaume se rassemblent pour discuter politique et tactique.;Hier versammeln sich die erfahrensten Recken des Reiches, um über Politik und Kriegsführung zu sprechen.;;Los héroes más probados del reino se reúnen para hablar de todo, de política a tácticas.;;;;;;;;;x
no_cattle_pens_1;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_2;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_3;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_4;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_5;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_6;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_7;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_8;Cattle Pens;Enclos à bétail;Pferche;;Corrales de ganado;;;;;;;;;x
no_cattle_pens_desc;The cattle livestock provides meat and works as pack animals.;Le bétail fournit l'approvisionnement en viande ainsi qu'une force de travail.;Die Rinder liefern Fleisch und werden als Lasttiere eingesetzt.;;El ganado vacuno proporciona carne y trabajo como animales de carga.;;;;;;;;;x
no_meat_preserver_1;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_2;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_3;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_4;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_5;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_6;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_7;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_8;Meat Preserver;Conservation de la viande;Fleischkonservierer;;Conservante de carne;;;;;;;;;x
no_meat_preserver_desc;Dried meat work as effective field rations for the armies.;La viande séchée est utilisée efficacement dans les rations militaires.;Dörrfleisch dient als effiziente Verpflegung für die Armee im Feld.;;La carne seca sirve eficazmente como raciones de campo para los ejércitos.;;;;;;;;;x
no_harbor_1;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_2;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_3;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_4;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_5;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_6;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_7;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_8;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
no_harbor_desc;A harbor village allowing small transport and trade ships to dock and be maintained.;Un village portuaire permet d'accueillir et de réparer de petits bateaux de transport et de commerce.;In einer Siedlung mit Hafen können kleine Transport- und Handelsschiffe anlegen und instand gesetzt werden.;;Un pueblo portuario que permite amarrar y mantener pequeños transportes y buques comerciales.;;;;;;;;;x
no_fishing_village_1;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_2;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_3;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_4;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_5;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_6;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_7;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_8;Fishing Village;Village de pêcheurs;Fischerdorf;;Pueblo de pescadores;;;;;;;;;x
no_fishing_village_desc;Fishers use the nearby water to provide an additional source of food.;La pêche constitue une source de nourriture supplémentaire.;Fischer nutzen nahe gelegene Fischgründe zur Ergänzung des Nahrungsangebots.;;Los pescadores utilizan las aguas cercanas para proporcionar una fuente adicional de alimento.;;;;;;;;;x
no_felt_crafter_1;Felt Crafter;Fabrique de feutre;Filzmacher;;Artesano del fieltro;;;;;;;;;x
no_felt_crafter_2;Felt Crafter;Fabrique de feutre;Filzmacher;;Artesano del fieltro;;;;;;;;;x
no_felt_crafter_3;Felt Crafter;Fabrique de feutre;Filzmacher;;Artesano del fieltro;;;;;;;;;x
no_felt_crafter_4;Felt Crafter;Fabrique de feutre;Filzmacher;;Artesano del fieltro;;;;;;;;;x
